GAME_ID	USERNAME	CHARACTER_ID	LAST_POSITION_X	LAST_POSITION_Y	POINT	BORDERS_X	BORDERS_Y
1664596199	agelenler	1	5	6	8	10	10
1599746015	elif	1	2	2	10	3	10
